"Credits"
{
// these keys must be in this order!
"show_credits_logo" "1"
"custom_logo"	"swarm/credits/Planet137credits"
"asw_credits_"	"Campaign by"
"asw_credits_"	"Jean-Gabriel Finat :[PB's] Hephalistofene"
"asw_credits_"	""
"asw_credits_"  "Additional Music: The Fearless by Felix Brode"
"asw_credits_"	"http://distancetohere.de"
"asw_credits_"	""
"asw_credits_"	"Thanks to Jauliac and JohnnyTheWolf"
"asw_credits_"	"And all testers" 
"asw_credits_"	""
"asw_credits_"	""
"asw_credits_"	""
"asw_credits_"	""
}
