GAME
{
    // PDA belongs to Lucius Pawn
    
    // inbox
    
	"MailFrom1"	"From: Windom King"
	"MailDate1"	"Date: 02/29/53"
	"MailSubject1"	"Subject: Security"
	"MailBody1A"	"I have something on my screens. Not sure however of what this could be. Report everything unusual to me, Lucius."
	"MailBody1B"	"Anath thinks it's a spy, again... A commando spy dropped from outer space maybe?"
	"MailBody1C"	"This man is pissing me off with his stories."
	"MailBody1D"	"Chief of Security W. King"

	"MailFrom2"	"From: Lana King"
	"MailDate2"	"Date: 02/29/53"
	"MailSubject2"	"Subject: Coffee machine???"
	"MailBody2A"	"I'm coming by for your coffee machine issue."
	"MailBody2B"	"Is it truly out of order or do you want to hide somewhere together?"
	"MailBody2C"	""
	"MailBody2D"	"Love, Lana"

	
	// sent mail
	
	"MailFrom3"	"To: Windom King"
	"MailDate3"	"Date: 02/29/53"
	"MailSubject3"	"Subject: Re: Security"
	"MailBody3A"	"Understood sir, I will report everything."
	"MailBody3B"	"Until now only the coffee machine has gone out of order, do you think that Anath's spy sabotaged it? :)"
	"MailBody3C"	"Is your daughter on duty today? That machine could use her repair skills."
	"MailBody3D"	"Security Officer Lucius Pawn"
}
